1,5916 5762 9471 9875 7 3430 1971 9924
2,6826 5357 6559 879 288 9985 9788
3,4108 88 1120 9987 6415 3493 1638
4,9078 1937 8813 8797 9839 397 1151 802
5,7745 9139 9984 1541 119
6,45 1860 9299 2444 27 54 1155
7,9459
8,9993 5509 6794
9,5702 3764 9013 3944 9399 9491 6731 1903
10,9934 8195 863 4033 9919
11,2343 205 5 2733 1
12,255 8056 9850 20 8855
13,5208 8639 3984 17
14,3164 8409 9414 9848 8388
15,8860 9999
16,29 6980
17,7672 9256 453 112 8946 33 9283 6081
18,159 5576
19,95 833 1600 25 1743 31 2862 1166
20,9907 9737 724 1 4126
21,3650 5507 8956
22,3676
23,602 9377 4824 6126 6190 2 9060
24,8380 1646 7838 59
25,3852 5710 3237 3037
26,1548 998 9981 9966 732 4772 9814 9714
27,6543 5873 7663 6880
28,6595 8849 136 9396 9824 7 185
29,9850 9621 8716
30,854 9977 245 7702 7585 7444 4117
31,3870
32,9983 9718
33,9993 3007
34,87 5297 9391 3635 9991 9149 8051
35,8587 9635
36,6648
37,6676 649 9762 380 7866 2605 4671
38,4 8626 131 1117 5908 5446 705
39,1605 2611 4619 443 7727 4820
40,9999
41,370
42,9863 9848 3 481 111
43,2152 6697 6 4456 4846
44,722 9996 53 7685 67 8807 525 5846
45,9988 3523 57 8793 8864 7506 9627 9999
46,1464
47,8781 9855 7990 1977 9923 31 8357
48,1665 9967
49,3
50,7877 7353 5720 4194 8024 9144 6176 8599
51,3294 9901 9674 490 2390
52,235 9920 2341 8737 3796
53,9965 8681 4939 1680 7950 1
54,1 8206 9651 8953 9357 9438
55,9980 1974 438 730 2
56,232 559 172 9864 3103 8927 2333
57,58 8130 8334 8731 9349 8375 65 4978
58,159 3181
59,9919 4647 4290 3156 309 8951 1048
60,9992 7072 26 1593 9950 7450
61,7331 215 6301
62,5272 8459 478 525
63,7238 5770 1000
64,2561 5
65,2324 9984 9603 9932 803 45 1578 9998
66,584 3
67,392 9919 9999 3116 9717
68,2 432 9835
69,10 6234 9997
70,19 8913 1284 81 149 5980 5790
71,2037 2224 9980 173 4174 4570 9708
72,8815 2005 4428 2516 2617 7731 1756
73,320 5429 687 526 4641 1
74,10 9534
75,8148 7316 9999 9998 9361 3836
76,8968 9902 6411 8829 1091 26
77,9917
78,7365
79,313 9947 15 4225 2596
80,52 3931 5438 626 140
81,9286 19 2 351 2635
82,8865
83,128 9514 17 316 534 474
84,1674 9067 9818 7884 2114
85,9966 27
86,437 6168 9999
87,691 9006 157 9560 1010
88,1142 9999 88 6074
89,532 9963 8166 172 8383 9155 9997
90,9710 5932 1890 9555 7384
91,8135 8390 4779
92,7192 839
93,35
94,3252 9086 3355 9198 329 1461 125 6442
95,3853
96,2374 7864 7971 2 5929 20 8136
97,4015 1358 7470 6820 262
98,9536 712 4317 1810 5670
99,4743
100,98 3212 57 9965
101,5187 212 9719 9535 9776 8502
102,3363 9986 9072 6337 334 553
103,5499 5579 525
104,8014 1370
105,7226 3285 32 8789 783 234
106,7874 3406 3123
107,2530 6590 293 9185 9401 9381
108,6506 6832 8336 9747 9923 8958 4002
109,60 9999 6412 8 4642
110,158 7756 6280 5 1557 5348
111,32 857 9039 390 9720 8944 8959 9995
112,1439 4168 9668
113,9308 2123 9933
114,9908 7314 9996 8078 8313 208 7471
115,1816 124 7913 9992 4475 1210 6680
116,3207 1283 9991 891
117,233 151
118,1022 748 884
119,7773 1923 9965 9111 6300
120,9986 5775
121,9531 2114 4103 8256 9457 9842
122,3345 153 9985 8524 4717 850 1
123,6690 9029 1036 9 8345 1744 9895
124,9853 1 2476
125,1197
